Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Max Error
RidgeCV,0.9999924856395284,0.9999924920951645,0.0028374196341941814,0.008165121078491211,0.024414715007072374
BayesianRidge,0.9999922712233384,0.9999922778631809,0.002877616639377355,0.0060329437255859375,0.02469234559094513
TransformedTargetRegressor,0.9999922711847045,0.9999922778245801,0.0028776238315620798,0.006996870040893555,0.024692387843343155
OrthogonalMatchingPursuitCV,0.9999922711847045,0.9999922778245801,0.002877623831562305,0.008471012115478516,0.024692387843346708
LassoLarsIC,0.9999922711847045,0.9999922778245801,0.002877623831562479,0.0062046051025390625,0.024692387843346708
LinearRegression,0.9999922711847045,0.9999922778245801,0.0028776238315620798,0.008294105529785156,0.024692387843343155
Lars,0.9999922711847045,0.9999922778245801,0.002877623831562479,0.009005546569824219,0.024692387843346708
LassoLarsCV,0.9999922711847045,0.9999922778245801,0.002877623831562479,0.011932611465454102,0.024692387843346708
RANSACRegressor,0.9999922711847045,0.9999922778245801,0.0028776238315620798,0.004086732864379883,0.024692387843343155
LarsCV,0.9999922711847045,0.9999922778245801,0.002877623831562479,0.011991262435913086,0.024692387843346708
Ridge,0.9999909076865304,0.9999909154977963,0.0031211508358236595,0.004037141799926758,0.02339139912709065
LinearSVR,0.999989370477345,0.9999893796092374,0.0033746943016451734,0.028011322021484375,0.030808006353193917
KernelRidge,0.9999892431873275,0.9999892524285755,0.003394840385751991,0.02417445182800293,0.024541149428670472
HuberRegressor,0.9999883361249301,0.9999883461454413,0.0035350778870646134,0.01860189437866211,0.03183759919619966
LassoCV,0.9999853767672265,0.9999853893301412,0.003958213847485514,0.048680782318115234,0.03502695371260067
ElasticNetCV,0.9999752964853532,0.999975317708304,0.005144662983457511,0.0496828556060791,0.05232986900834735
OrthogonalMatchingPursuit,0.9996806325498548,0.9996809069205165,0.018497919394447265,0.004026174545288086,0.16831370001120582
SGDRegressor,0.9993891791108712,0.9993897038710853,0.025582000179130315,0.006004810333251953,0.27468545035342906
GradientBoostingRegressor,0.9992951750031832,0.9992957805229399,0.02748009351187413,0.1193382740020752,0.28104324180974416
RandomForestRegressor,0.9988820440943531,0.9988830045375711,0.034609067225186696,0.2501499652862549,0.37401331000000004
ExtraTreesRegressor,0.9982168092999237,0.998218341250697,0.043709561787261486,0.18387866020202637,0.7616476699999986
DecisionTreeRegressor,0.9980836229334961,0.9980852693055463,0.04531250164751727,0.008009672164916992,0.5383640000000005
ExtraTreeRegressor,0.9978709895480542,0.9978728185948342,0.04776023488454622,0.008215665817260742,0.5595189999999999
BaggingRegressor,0.9971304814818116,0.9971329467039063,0.05544751321662204,0.03196001052856445,0.6328228999999999
PassiveAggressiveRegressor,0.9969232981225663,0.9969259413372377,0.05741432528406065,0.004034280776977539,0.12323850165544847
MLPRegressor,0.9956319846437479,0.9956357372342601,0.06841000709671427,0.08675694465637207,0.8890454477759535
XGBRegressor,0.9918159312713718,0.9918229622582521,0.0936401695004773,0.06808161735534668,0.9355709428253176
AdaBoostRegressor,0.9883338611840462,0.9883438836400736,0.1117998258698888,0.0745234489440918,0.5813896521739133
HistGradientBoostingRegressor,0.9600142811371253,0.9600486331292755,0.20698077621948088,0.1705012321472168,1.719486103923137
KNeighborsRegressor,0.958349775743584,0.9583855577231858,0.21124489830981127,0.015220403671264648,2.4375788
LGBMRegressor,0.9454323905831323,0.9454792699726657,0.24179372237232546,0.09057736396789551,2.100477717033537
GaussianProcessRegressor,0.8315489332458629,0.8316936506571637,0.42482927858625724,0.09096908569335938,4.526253651983694
TweedieRegressor,0.8304835440071323,0.8306291767012842,0.42617060328121503,0.007286787033081055,3.38597634863221
NuSVR,0.7943329532254807,0.7945096431282079,0.469418188554648,0.24367403984069824,4.791522885575111
SVR,0.7833451529458048,0.7835312825394939,0.481794415795533,0.02958059310913086,4.809605800609663
ElasticNet,0.572675225387276,0.5730423428912389,0.6766383259663065,0.0049533843994140625,3.2985920914740943
LassoLars,0.009207265827160582,0.01005846233418195,1.030312488008487,0.008052587509155273,4.65726933517199
Lasso,0.009207265827160471,0.010058462334181839,1.030312488008487,0.0070002079010009766,4.65726933517199
DummyRegressor,-0.00087502967909181,-1.5171406171576862e-05,1.0355414432657362,0.006314754486083984,4.679961750301568
QuantileRegressor,-0.0010878393943265507,-0.00022779829519059547,1.0356515277219482,1.4028499126434326,4.698314999999999
