Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Max Error
GaussianProcessRegressor,0.9995213711912394,0.9995217823843741,0.02142951697819233,0.2833716869354248,0.7284849299855987
ElasticNetCV,0.9986896447476437,0.9986907704823965,0.03545744936701835,0.04660320281982422,0.312523944002304
SGDRegressor,0.9986776850374305,0.9986788210468485,0.035618893219960354,0.009999752044677734,0.3109707888565447
LassoCV,0.9986092733888358,0.9986104681711477,0.03652866890259388,0.048384904861450195,0.30415379997431735
Ridge,0.9985687202286373,0.998569949850434,0.037057424387587946,0.008334159851074219,0.2999708116398745
RidgeCV,0.9984934773740011,0.9984947716374255,0.03801900912061581,0.006002902984619141,0.29786830140401577
OrthogonalMatchingPursuitCV,0.9984857235608143,0.9984870244855902,0.03811672220864227,0.008020639419555664,0.2977180458536708
BayesianRidge,0.9984841231542909,0.9984854254539866,0.03813685926546086,0.007546424865722656,0.29763481970822925
RANSACRegressor,0.9984840499398371,0.9984853523024317,0.03813778022933025,0.008010387420654297,0.2976330116175916
TransformedTargetRegressor,0.9984840499398371,0.9984853523024317,0.03813778022933025,0.009709835052490234,0.2976330116175916
LinearRegression,0.9984840499398371,0.9984853523024317,0.03813778022933025,0.005515575408935547,0.2976330116175916
LassoLarsCV,0.998484049939837,0.9984853523024316,0.03813778022933163,0.009281396865844727,0.29763301161759026
LassoLarsIC,0.998484049939837,0.9984853523024316,0.03813778022933163,0.007386445999145508,0.29763301161759026
Lars,0.998484049939837,0.9984853523024316,0.03813778022933163,0.006489992141723633,0.29763301161759026
LarsCV,0.998484049939837,0.9984853523024316,0.03813778022933163,0.00819706916809082,0.29763301161759026
HuberRegressor,0.9984003154819417,0.9984016897813559,0.03917690606764053,0.013292551040649414,0.3580798470709423
LinearSVR,0.9982729104993406,0.9982743942532072,0.04070712084802024,0.025979995727539062,0.37612180872820966
PassiveAggressiveRegressor,0.9976201790753766,0.9976222235950712,0.047784286302838895,0.006007194519042969,0.20035007223960033
KernelRidge,0.9972423417591595,0.9972447108813596,0.05143789478890063,0.06685566902160645,0.32439704207730147
MLPRegressor,0.9952072744908871,0.9952113919526647,0.06781163922358953,0.1677839756011963,0.91675114412166
ExtraTreesRegressor,0.9923186521612336,0.992325251257315,0.08584829623134552,0.25745201110839844,0.9376583100000007
NuSVR,0.9917107849922561,0.9917179063109912,0.08918045150764264,0.5526852607727051,2.118078413459683
LGBMRegressor,0.9874655585265043,0.9874763269470141,0.10966434724114413,0.05460190773010254,1.2018649477901722
HistGradientBoostingRegressor,0.9872690768794145,0.9872800140985902,0.11052051812614162,0.18640804290771484,1.152002371355513
XGBRegressor,0.9869322103226665,0.9869434369461006,0.11197318522906281,0.07968425750732422,1.405856444091797
SVR,0.9850832314145781,0.9850960465078645,0.11963282013952839,0.08387517929077148,2.589030625702426
RandomForestRegressor,0.9839254137182487,0.9839392235002777,0.12418892464710037,0.3910515308380127,1.4875852100000042
GradientBoostingRegressor,0.9832886842212233,0.9833030410217205,0.12662465857531988,0.19365811347961426,0.8768875812960251
BaggingRegressor,0.9815124025373136,0.9815282853530033,0.13318435222099123,0.05126452445983887,1.6495525000000013
ExtraTreeRegressor,0.9719830806566172,0.9720071501749534,0.16395442952161285,0.008006572723388672,1.4892910000000001
DecisionTreeRegressor,0.9706338257844989,0.9706590544565054,0.16785591506813943,0.012062788009643555,2.1136
KNeighborsRegressor,0.942501212892026,0.9425506104754521,0.23487798167190738,0.015046119689941406,2.4194335999999996
AdaBoostRegressor,0.848174437808909,0.8483048721406883,0.3816677049847846,0.11729764938354492,2.0044051289808915
OrthogonalMatchingPursuit,0.8223345450361073,0.8224871785884817,0.4128710774785763,0.008094072341918945,3.4890552767623086
LassoLars,0.7388092607961222,0.7390336514655413,0.5006011601180994,0.006794929504394531,5.450436810863412
Lasso,0.738809260796122,0.7390336514655411,0.5006011601180995,0.009823322296142578,5.450436810863413
ElasticNet,0.6952574927365882,0.6955192990143059,0.5407287767431381,0.004010200500488281,5.907059211135493
TweedieRegressor,0.6513149864266976,0.6516145439984959,0.5784017594984137,0.009095907211303711,6.530327494279232
QuantileRegressor,-0.001516852615516262,-0.0006564429483209011,0.980261837045865,5.310630798339844,7.9598569999999995
DummyRegressor,-0.0015927106092497034,-0.0007322357719565797,0.9802989603793733,0.008358955383300781,8.011481230437461
