10,0.60684,6.25534
20,0.62196,4.75063
30,0.44428,4.32659
40,0.31885,3.91654
50,0.22269,3.43587
60,0.14020,2.81677
70,0.10461,2.11076
80,0.10981,1.65509
90,0.10684,1.40082
100,0.09502,1.24241
110,0.08425,1.12914
120,0.07529,1.04600
130,0.06638,0.97755
140,0.05744,0.91504
150,0.04849,0.85498
160,0.03935,0.80293
170,0.03520,0.75687
180,0.03046,0.71977
190,0.02882,0.68028
200,0.02655,0.65632
210,0.02496,0.61363
220,0.02440,0.60538
230,0.02257,0.56136
240,0.02295,0.55573
250,0.02187,0.53704
260,0.02117,0.51807
270,0.02083,0.50003
280,0.02060,0.49161
290,0.01981,0.47196
300,0.01940,0.45597
310,0.01914,0.44928
320,0.01884,0.43562
330,0.01827,0.42501
340,0.01823,0.41517
350,0.01754,0.40229
360,0.01711,0.39253
370,0.01733,0.38777
380,0.01647,0.37271
390,0.01622,0.36756
400,0.01648,0.36385
410,0.01554,0.34811
420,0.01526,0.34212
430,0.01557,0.34268
440,0.01497,0.33103
450,0.01455,0.32119
460,0.01454,0.31717
470,0.01418,0.30900
480,0.01412,0.30351
490,0.01381,0.29754
500,0.01356,0.29008
510,0.01358,0.28705
520,0.01323,0.27836
530,0.01303,0.27279
540,0.01285,0.26442
550,0.05418,0.22950
560,0.03167,0.25555
570,0.03769,0.27806
580,0.02068,0.25886
590,0.02561,0.26294
600,0.01970,0.27202
610,0.01803,0.26075
620,0.01863,0.26354
630,0.03115,0.26112
640,0.01853,0.26142
650,0.01842,0.25547
660,0.02112,0.27807
670,0.03317,0.25039
680,0.01967,0.25999
690,0.02256,0.26090
700,0.02021,0.27670
710,0.02012,0.24407
720,0.03070,0.27894
730,0.02055,0.25733
740,0.02103,0.28138
750,0.01713,0.25527
760,0.02550,0.26482
770,0.02734,0.25740
780,0.02044,0.26905
790,0.02100,0.26046
800,0.02064,0.27682
810,0.02100,0.23413
820,0.03043,0.27632
830,0.02141,0.25763
840,0.02102,0.28005
850,0.01807,0.25999
860,0.02445,0.25222
870,0.02907,0.25918
880,0.01975,0.26457
890,0.02074,0.26159
900,0.02059,0.27449
910,0.02050,0.23451
920,0.03027,0.27594
930,0.02127,0.25989
940,0.02091,0.27912
950,0.01797,0.26182
960,0.02423,0.25260
970,0.02912,0.26023
980,0.01954,0.26307
990,0.02076,0.26292
1000,0.02049,0.27327
1010,0.02016,0.23471
1020,0.03014,0.27472
1030,0.02118,0.26084
1040,0.02062,0.27767
1050,0.01725,0.25954
1060,0.02494,0.26416
1070,0.02753,0.26061
1080,0.01986,0.26522
1090,0.02075,0.26388
1100,0.02030,0.27169
1110,0.01989,0.23457
1120,0.02992,0.27353
1130,0.02106,0.26128
1140,0.02043,0.27640
1150,0.01607,0.25434
1160,0.01888,0.26123
1170,0.02981,0.26144
1180,0.01795,0.25715
1190,0.01803,0.25528
1200,0.01723,0.26348
1210,0.02394,0.25820
1220,0.01907,0.27060
1230,0.01503,0.27519
1240,0.02179,0.28614
1250,0.01498,0.24798
1260,0.01727,0.26385
1270,0.02093,0.26009
1280,0.02018,0.27357
1290,0.02054,0.23276
1300,0.02954,0.27225
1310,0.02129,0.26073
1320,0.02028,0.27536
1330,0.01732,0.26035
1340,0.02433,0.25783
1350,0.02822,0.26053
1360,0.01912,0.26146
1370,0.02033,0.26352
1380,0.01935,0.26560
1390,0.01915,0.23446
1400,0.02877,0.27221
1410,0.02099,0.26041
1420,0.02003,0.27446
1430,0.01568,0.24714
1440,0.02052,0.27484
1450,0.01357,0.27107
1460,0.02260,0.27182
1470,0.02825,0.26600
